ID,Resume Summary,Resume Score based on Recommendations,Suspicious Wording Score,Recommendation Redundancy Score
25,"1. Resume Summary: The candidate is a seasoned healthcare professional with over 20 years of experience in managed care, network development, and provider engagement. They possess strong leadership skills, having managed teams and directed various projects in the healthcare industry.

2. Objective: None.

3. Experience: 
- Healthcare Consultant (October 2014 - Current): Network development for a new Medicare Advantage I-SNP in the northeast.
- Cycle Instructor (September 2012): Provided high-energy indoor cycle experiences for participants.
- Provider Group Engagement Manager (September 2012 - October 2014): Established, maintained, and oversaw provider relationships.
- Regional Director (September 2010 - April 2012): Managed and directed all contracting and provider relations activities within the Southeast.
- Manager, Managed Care (January 2004 - January 2010): Negotiated and maintained major managed care contracts.
- Provider Reimbursement Specialist (January 2000 - January 2004): Implemented and ensured quality assurance of provider contracts.
- Senior Analyst (January 1997 - January 1999): Implemented provider contracts and developed professional fee schedules.
- Health Systems Analyst (January 1997 - January 1999): Implemented preferred reimbursement methodologies.
- Report Specialist (January 1996 - January 1997): Reported quality data.
- Client Services Representative (January 1995 - January 1996): Assisted clients with authorizations and insurance questions.

4. Accomplishments: 
- Built a class that averages 30 participants from a class that started out with around 6 within six months.
- Increased profitability on three key payor contracts over 20% for the system.
- Successfully obtained delegated credentialing with all contracted payors, resulting in 100% delegation and an average of 90 days shorter loading time with the payors.
- Consistently averaged 99% in delegated payor audit scores.
- Implemented ""Lean Thinking"" and techniques in the credentialing department, streamlining processes and facilitating transparency.

5. Education: 
- Master of Business Administration, Kennesaw State University (2000)
- Bachelor of Science in Business Administration/Management Health Services Administration, Kennesaw State University (2000)
- Bachelor of Science in Health Services Administration, Auburn University (1994)

6. Projects: None.

7. Skills: 
- Acquisitions
- CMS
- Contract negotiations
- Contract Management
- Database
- Directing
- Documentation
- Estimating
- Financial
- Government
- Insurance
- Leadership and training
- Managing
- Market
- Negotiation
- Enterprise
- Network
- Processes
- Coding
- Quality
- Quality assurance
- Reporting
- Strategic
- Strategic planning",8.0,8,0.034063079777365494
26,"1. Resume Summary: 
The candidate is a seasoned Human Resources professional with over 15 years of experience in HR management, specializing in conflict management, employee training, and recruitment. They possess strong leadership skills and are effective in achieving business objectives while meeting deadlines and budget requirements.

2. Objective: 
None (The resume does not explicitly state the candidate's career goals or the type of role they are seeking.)

3. Experience: 
- HR Manager at Company Name (01/2012 to 04/2015): Directed human resource management activities, including workers' compensation, recruitment, and regulatory compliance.
- HR Coordinator/Assistant at Company Name (03/2011 to 11/2012): Provided support to the National Director and General Manager, oversaw PGA TOUR golf and charity events, and managed HR functions.
- HR Representative at Company Name (02/2009 to 03/2011): Worked with senior management to create and implement HR policies and procedures, recruited employees, and developed orientation and training programs.
- Sr. Executive Assistant at Company Name (01/2007 to 12/2008): Provided a broad range of HR functions, including recruiting, training, and managing HR records.
- Sr. Executive Assistant at Company Name (02/2002 to 12/2006): Provided support to Vice Presidents of commercial and military operations, coordinated trade show involvement, and maintained budgets.
- Human Resource Regional Assistant at Company Name (01/1998 to 01/2002): Maintained payroll and benefits administration, monitored Workers' Compensation claims, and tracked reported accidents.

4. Accomplishments: 
- Implemented programs and policies in training, compensation structures, benefits packages, incentives, and new-employee orientation.
- Introduced the company's first ""web interview,"" reducing interviewing costs.
- Negotiated salary offers, sign-on bonuses, and relocation packages.
- Helped finalize and create a revised union contract.
- Increased employee satisfaction and productivity through creative incentive and morale-boosting programs.

5. Education: 
- Bachelor of Arts (BA) in Human Resource Management from the University of Phoenix (2016)
- Notary Public (2019)

6. Projects: 
None (The resume does not explicitly mention any significant projects the candidate has worked on.)

7. Skills: 
- Benefits administration
- Budget analysis
- Coaching
- Contract negotiations
- Documentation
- Event planning
- Executive management
- Firing
- Forms
- Functional
- General Manager
- Graphics
- Hiring
- Human resource management
- Insurance
- Logistics
- Managing
- Marketing
- Meetings
- Payroll
- People Soft
- Personnel
- Policies
- Presentations
- Press releases
- Processes
- Promotion
- Recruiting
- Recruitment
- Reporting
- Sales
- Scheduling
- Staffing
- Strategic
- Travel arrangements
- Workshops",8.0,8,0.0
27,"1. Resume Summary: A highly motivated wellness professional with experience in designing, developing, and implementing health and wellness programs. Skilled in interpersonal communication, project management, and fitness testing and evaluation concepts.

2. Objective: Seeking a position that allows for career advancement in providing wellness programs and services to the community.

3. Experience: 
- Group Fitness Coordinator at Company Name (2012-2015): Directed and supervised the Group Fitness Program, developed educational seminars, and managed P&L for the program.
- Private Childcare Provider (2011-Present): Created daily schedules, met with parents, and scheduled activities for children's development.
- Fitness Instructor at YMCA of the Suncoast (2011-Present): Developed, organized, and maintained fitness classes, advised members on fitness and wellness, and kept up-to-date with industry trends.

4. Accomplishments: Successfully developed and ran annual community support campaigns, bringing in $10,000+ per year to the department.

5. Education: Bachelor's Degree in Psychology/Government from the University of Tampa (2011), with additional training in Healthy Lifestyle Principles, Foundations of Strength and Conditioning, CPR, First Aid, AED, and Les Mills Bodypump.

6. Projects: None.

7. Skills: Proficient in health education, presentations, relationship building, seminars, staffing, CPR, First Aid, and AED.",8.0,8,0.20747062461348179
28,"1. Resume Summary: Results-oriented Supervisor with diverse background in management and customer service, possessing strong communication skills, leadership skills, and experience in cash handling, inventory management, and medical assistance.

2. Objective: None.

3. Experience: 
- Line Attendant at Company Name (Nov 2009 - Sep 2014): Supervised employees, provided customer service, managed inventory, and maintained store operations.
- Crew Leader at Company Name (Apr 2009 - Feb 2010): Cooked and prepared food, ensured quality assurance, and directed storage and serving of refreshments.
- Medical Assistant Externship at Company Name (Aug 2008 - Sep 2008): Performed general office duties, prepared patients for examinations, and collected laboratory specimens.
- Seasonal Culinary Arts Café Hostess at Company Name (Apr 2008 - Oct 2008): Sold and served refreshments, recorded sales, and maintained café operations.
- Seasonal Sales Associate at Company Name (Oct 2007 - Jan 2008): Described merchandise, recommended products, and processed sales transactions.

4. Accomplishments: Performed competitive analysis to make recommendations for future company growth.

5. Education: Diploma in Medical Assistant from Sanford-Brown Institute (Aug 2007 - Sep 2008).

6. Projects: None.

7. Skills: 
- Technical skills: Microsoft Word, Microsoft Excel, cash handling, and laboratory specimen collection.
- Soft skills: Customer service, leadership, communication, team player, multi-tasker, and quality assurance.",8.0,8,0.18587507730364874
29,"1. Resume Summary: The candidate is an Information Technology Specialist with over 16 years of experience in analyzing, troubleshooting, managing, and testing complex IT systems, specializing in Information Security, Cyber Security, and System Administration.

2. Objective: None.

3. Experience: 
- Information Technology Specialist (05/2009 - Current) at Company Name, providing electronic surveillance of information systems, digital evidence analysis, and technical analytical support to computer surveillance activities.
- Network Security Analyst (08/2008 - 05/2009) at Company Name, analyzing software, hardware, and network systems, identifying and resolving network security violations.
- Corporate Security (11/2007 - 08/2008) at Company Name, ensuring compliance with industry standards and responding to client requests for technical support.
- Network Security Analyst (11/2003 - 11/2007) at Company Name, identifying and responding to threats against Air Force worldwide computer networks.

4. Accomplishments: None.

5. Education: 
- Bachelor of Science in Information and Computer Science with an emphasis in Network Security from Park University (2018).
- CompTIA Certified in Security Fundamentals (Security+) (2015).
- CompTIA Network Fundamentals (Network+) (2014).
- Defense Cyber Investigation Training Academy coursework in Network Exploitation Techniques (2012), Network Monitoring Techniques (2011), Certified Computer Forensics Examiner (2010), and Certified Digital Media Collector (2009).

6. Projects: None.

7. Skills: Proficient in Windows, Unix, Linux, VMWare, Wireshark, Snort, TCPDump, EnCase, Bash Programming, configuring routers and switches, computer networking, Intrusion analysis, and Firewalls.",9.0,8,0.0
30,"1. Resume Summary: 
The candidate is a dedicated and results-oriented Project Accountant with over 30 years of experience in construction management, accounting, and project coordination. They possess strong expertise in various accounting systems, including AS400, SAP, and JD Edwards, as well as proficiency in Microsoft Office and Construction Imaging software.

2. Objective: 
Seeking a role of increased responsibility and authority, utilizing their skills and experience to contribute to a dynamic organization.

3. Experience: 
- Project Accountant (February 2003 to Current) at Company Name, managing project coordination, accounting activities, and correspondence for multiple projects.
- Assistant to Vice President (April 1996 to February 1999) at Company Name, developing procedure manuals, coordinating project overviews, and assisting in database development.
- Owner (May 1994 to January 1996) at Company Name, managing insurance, licenses, and permits, as well as scheduling equipment and verifying invoices.
- Assistant Project Manager (September 1992 to April 1994) at Company Name, maintaining property management, lease administration, and negotiating contracts.
- Project Manager (September 1989 to July 1992) at Company Name, responsible for interior tenant build-out and construction activities.
- Project Coordinator (January 1985 to September 1989) at Company Name, designing and implementing company reference manuals and managing interior build-out projects.
- Executive Assistant (January 1983 to January 1985) at Company Name, providing clerical support and assisting with various projects.

4. Accomplishments: 
- Successfully developed and implemented procedure manuals for subcontractors and project management.
- Coordinated and produced project overview presentations for executive meetings.
- Assisted in the development and maintenance of a database to track contracts and change orders in excess of $700 million.
- Acquired and maintained necessary licenses, permits, and insurances to operate and perform construction work.

5. Education: 
- USM - Graphic Design, Real Estate
- NVCC - Architectural Drafting

6. Projects: 
- Gulfport High School renovation (CM project)
- Hard Rock New Guest Tower Addition
- Island View Casino Renovation
- MDA Neighborhood Home Repair Program
- MSU Science & Technology Center
- Ohr O'Keefe Museums of Art
- Air Cargo Facility
- Sea Breeze Condominiums
- Battlefield Business Park
- Windsor Plaza
- Monroe Business Center
- Enterprise Center
- CIA Headquarters (Langley, VA) - powerhouse modifications project
- Army Ammunitions Plant (Bay St. Louis, MS) - construction project

7. Skills: 
- Accounting
- Accounting Systems (AS400, SAP, JD Edwards)
- AIA
- Billings
- Bluebeam
- Bonds
- Budgets
- Business Management
- Clerical
- Construction Management
- Contracts
- Special Events
- Filing
- Imaging
- Insurance
- Microsoft Office
- Negotiations
- Payroll
- Coding
- Project Management
- Property Management
- Proposals
- RFI
- Scheduling
- Taxes
- Trade Shows",8.0,8,0.0
31,"1. Resume Summary: The candidate is a driven technology professional with over 8 years of experience in software architecture and development, specializing in designing and developing platforms consisting of web applications and services. They have expertise in middle tier and Service Oriented Architecture (SOA) and functional proficiency in data and presentation tiers.

2. Objective: None (However, based on the candidate's experience and skills, it can be inferred that they are seeking a senior-level role in software architecture or a related field, possibly in a leadership or consulting position.)

3. Experience: 
- Platform Architect, Healthcare Incubation Lab (HIL) (01/2015 to Current): Led and collaborated with enterprise solution delivery teams, designed and developed an API platform, and architected, integrated, and managed Okta IDaaS.
- Solution Architect, Enterprise Architecture & IT Strategy (04/2014 to 01/2015): Collaborated in the design and development of a telephony and analytics solution, helped teams adopt current software engineering industry standards and practices, and participated in a core workgroup tasked with developing templates for high-level and detailed design documents.
- Application Architect, Research & Development (01/2013 to 04/2014): Led development of a new flagship SaaS platform, designed and implemented SSO functionality, and conducted daily standups with technology and business teams.
- Software Developer, Research & Development (04/2010 to 01/2013): Developed data services for core platform, built custom solutions to interface existing legacy systems with new applications, and ported a data warehouse and various data marts into database projects.
- Enterprise Application Developer, Information Systems (09/2009 to 04/2010): Created and delivered high-quality software, developed complex AJAX web-parts, user & custom controls for large healthcare applications, and helped setup and deploy CruiseControl.
- Software Developer, IT Services (09/2008 to 09/2009): Developed and improved applications used by the IT Services team, assisted with design and development of OACCAC's public website, and developed and improved applications used by the IT Services team.

4. Accomplishments: 
- Led development of a new flagship SaaS platform, resulting in about 30% annual revenue increase for the organization.
- Designed and implemented SSO functionality for PriceMetrix web applications platform.
- Architected, integrated, and managed Okta IDaaS, enabling all web applications and web services to follow consistent patterns for integrating with external and internal identity providers.
- Conducted security code reviews and web application security testing to identify and remedy possible exploits and vulnerabilities.

5. Education: 
- Bachelor of Engineering: Systems & Computer Engineering (B.Eng), Honours Program, University of Guelph, Canada (Jun. 2009)
- Information Technology Infrastructure Library (ITIL) v3 Training (Jan. 2010)
- The Open Group Architecture Framework - TOGAF 9 Level 1 Training (Oct. 2014)

6. Projects: None (However, the candidate has worked on various projects throughout their career, including designing and developing platforms consisting of web applications and services, developing data services for core platform, and building custom solutions to interface existing legacy systems with new applications.)

7. Skills: 
- Proficient in .NET, ASP.NET, Active Directory, Agile, AJAX, API, Architect, automate, BI, business intelligence, Cascading Style Sheets, excellent communication, Computer Engineering, Configuration Management, consultant, content management, creativity, CSS, Client, clients, customer satisfaction, data warehouse, databases, Database, delivery, designing, Eclipse, Electronic Medical Records, email, financial, focus, Forms, functional, Gateway, HTML, IIS, Information Systems, Information Technology, Insurance, IT Strategy, ITIL, Java, Javascript, Linux, logic, Mac, messaging, Access, C#, exchange, Windows, Modeling, MVC, Enterprise, network, Object Oriented Programming, Oct, Operating Systems, order management, processes, Product Development, profit, promotion, Proxy, purchasing, quality, Quality Assurance, Research, retail, Scrum, servers, Scripting, software engineering, SQL, SQL Server, telephony, T-SQL, UML, Visual Studio, wealth-management, web applications, website, websites.",8.0,8,0.0527643784786642
32,"1. Resume Summary: A seasoned Human Resources Professional with a Master's qualification in Human Resources and over 10 years of experience in staffing, technology recruiting, and staffing at big firms such as Nokia, as well as small to mid-sized and start-up IT services firms. Key skill sets include recruitment efforts, staffing, and talent acquisition.

2. Objective: Seeking a senior Human Resources role to utilize expertise in recruitment, staffing, and talent acquisition to drive business growth and success.

3. Experience: 
- Volunteer HR at iVolunteer (06/2009 - 10/2015): Provided support for recruitment activities, researched job boards, and conducted candidate suitability analysis.
- Technical Recruiter (01/2007 - 01/2008 and 03/2006 - 01/2007): Recruited candidates through internet research, internal database, cold calling, referrals, networking, and job fairs. Performed extensive recruiting for senior software/database developers.
- Senior Executive at Mitra Technology Foundation (06/2002 - 06/2005): Managed recruitment and induction, internal employee communication activities, and HR policies.

4. Accomplishments: Consistently ranked as the #1 revenue generator for the branch and ranked in the Top 10 Recruiters within the region each month.

5. Education: 
- Post Graduate Diploma in Management from Balaji Institute of Modern Management, India (2002)
- Master's in Labor Laws and Labor Welfare from Symbiosis Law College, India (2002)
- Bachelor of Commerce from H. P. State University, India (2000)

6. Projects: None

7. Skills: 
- Proficient in .NET, C, C++, J2EE, Java, Linux, Oracle, SAP, SQL Server, and Windows
- Experienced in recruitment, staffing, talent acquisition, and HR policies
- Skilled in internet research, cold calling, referrals, networking, job fairs, and other recruiting strategies
- Proficient in requirement analysis and communicating it to potential candidates
- Experienced in recruiting information/applicant tracking systems and able to multi-task in a fast-paced environment.",8.0,8,0.0
33,"1. Resume Summary: The candidate is an experienced Accountant with over 10 years of experience in accounting, financial analysis, and leadership roles. They possess strong expertise in accounting software such as QuickBooks, SAP R/3, and Lacerte, as well as proficiency in MS Office.

2. Objective: To achieve a job as an Accountant that utilizes their accounting, communication, analytical, and leadership skills.

3. Experience: 
- Accountant at Company Name (09/2014 to Current): Implemented QuickBooks Accounting, processed journal entries, accounts payable and receivables, and prepared financial statements.
- SAP Consultant at Company Name (06/2013 to 11/2013): Configured G/L Masters, Accounts Payable, and Accounts Receivable, and created Input/Output Tax and Withholding Tax.
- Financial Analyst at Company Name (02/2011 to 05/2013): Conducted audits, prepared tax returns, and performed analytical procedures.
- Accountant at Company Name (04/2009 to 12/2010): Reconciled journal entries, worked on mergers and acquisitions, and prepared balance sheets and income statements.

4. Accomplishments: None.

5. Education: 
- Pursuing Certified Public Accountant (CPA) at Boston, MA CPA Candidate University of Mumbai.
- LLB: Law at City India Law.
- Company Secretary at Institute of Company Secretaries of India (ICSI).
- Bachelors: Commerce at University of Mumbai.

6. Projects: None.

7. Skills: 
- Accounting software: QuickBooks, SAP R/3, Lacerte.
- MS Office: Excel, Word, PowerPoint.
- Financial analysis and reporting.
- Leadership and team management.
- Tax planning and preparation.
- Auditing and financial statement preparation.
- Bank reconciliation and cash management.",8.0,8,0.04363636363636364
34,"1. Resume Summary: The candidate is a highly experienced RF Systems Engineer with over 9 years of experience in RF hardware design, manufacturing operations, and data analysis. They possess a multidisciplinary background and have worked on various projects, including satellite communication architecture designs and proposals.

2. Objective: None.

3. Experience: 
- Working RF Systems Engineer at Company Name (May 2014 to Current): Led multiple end-to-end technical projects, managed test and production readiness reviews, and drove quality requirements for post-ramp qualification. 
- System Data Analyst at Company Name (August 2011 to December 2013): Prioritized and extracted big data, developed data collection systems strategies, and maintained database accuracy and completeness. 
- Electrical/Validation Engineer at Company Name (May 2011 to August 2011): Developed and maintained data requirements for PCBA EVT, DVT, and PVT assembly, designed automated tests, and monitored manufacturer IC packaging test yields.

4. Accomplishments: None.

5. Education: 
- M.S. in Electrical and Computer Engineering from Purdue University (December 2013), GPA: 3.9/4.0.
- B.S. in Electrical and Computer Engineering from Purdue University (December 2011), GPA: 3.2/4.0.

6. Projects: 
- Developed a laptop-based radar system that operates in both FMCW and CW mode, with Doppler shift, ranging, and SAR measurement capability (Thesis project).

7. Skills: 
- Proficient in RF/Microwave software (Ansoft Designer, AWR Microwave Office), programming languages (C, C++, Java, Python, Matlab, LabView), circuit design software (SPICE, NI Multisim), and PCB design software (Eagle, PCB Artiest).
- Experienced in data analysis, data mining, database management, and statistical tools (SQL, Excel, SAS, SPSS).
- Skilled in RF test instruments (Spectrum analyzer, Vector Network/Signal Analyzer, Logic Analyzer), manufacturing processes, and quality control.",2.0,8,0.0
35,"1. Resume Summary: 
The candidate is a dedicated and experienced Personnel Security Specialist with over 10 years of experience in managing personnel security programs, conducting security clearances, and enforcing security policies. They possess a broad knowledge of division processes, including Personnel Security, Information Security, Physical Security, and Industrial Security.

2. Objective: 
None (The resume does not explicitly state the candidate's career goals or the type of role they are seeking. However, based on their experience and skills, it can be inferred that they are seeking a senior security specialist or management role in a government agency or defense contractor.)

3. Experience: 
- Personnel Security Specialist (05/2014 to Current) at Company Name, City, State: Managed daily personnel security-related activities, conducted prescreening interviews, processed fingerprints, and coordinated with the Office of Personnel Management.
- Security Specialist (07/2012 to 05/2014) at Company Name, City, State: Assisted the command Special Security Officer, managed and reported on SCI-associated security programs, and enforced security regulations.
- Assistant Command Security Manager/Aviation Ordnanceman (01/2008 to 01/2011) at Company Name, City, State: Maintained and organized file management for security records, utilized JPAS to enter data, and tracked clearance eligibility and access.

4. Accomplishments: 
- Deployed in support of a Joint Special Operations Task Force in the CENTCOM Area of Responsibility and provided full-spectrum security support.
- Awarded for outstanding performance in providing security clearance background checks for the Magnum Night Training Exercise.
- Successfully managed and maintained the Personnel Security Management net on JPAS for over 5000 personnel.

5. Education: 
- Master of Education in Curriculum and Instruction (2015) from Concordia University.
- Bachelor of Science in Criminal Justice (2013) from ECPI University.

6. Projects: 
None (The resume does not mention specific projects worked on by the candidate. However, it mentions various security-related tasks and responsibilities they have handled in their previous roles.)

7. Skills: 
- Proficient in Joint Personnel Adjudication System (JPAS), e-QIP, and Microsoft Office.
- Knowledge of DoD Regulation 5200.2-R, Army Regulation 380-67, and other DoD and federal agencies' Personnel Security Program policies.
- Experience with security software, video monitoring, and digital media support equipment.
- Familiarity with National Industrial Security Program (NISPOM), Sensitive Compartmented Information (SCI) Administrative Security Manual, and other security regulations.",8.0,8,0.49892393320964756
36,"1. Resume Summary: Accomplished results-oriented leader with marketing and customer service experience, exceptional organization, time management, and multi-tasking abilities, holding an MBA in Management/Finance.

2. Objective: Seeking a career opportunity that will leverage unique skills and qualifications as a business professional, utilizing MBA education and work history to establish a mutual relationship, impacting the bottom line and providing a platform for career growth and advancement.

3. Experience: 
- Supervisor at Company Name (July 2015 to Current): Oversaw daily operations of the call center, monitored customer service metrics, and managed staff.
- Clinical Administrative Assistant- Healthcare Administrator at Company Name (February 2013 to July 2015): Recruited, trained, and managed clinical medical staff and customer service representatives.
- Community Account Manager (October 2010 to January 2013): Developed new and retained existing relationships with client base.
- Administrative Assistant/ Home manager (October 2009 to October 2014): Advanced to increasingly responsible positions, culminating in management role with oversight for a state-certified Group home.

4. Accomplishments: 
- Qualified for quarterly sales bonuses by exceeding sales targets.
- Assisted in implementation of new tracking system that resulted in improved patient care.
- Reduced team average call handle and wrap time metrics by 200 seconds (30% reduction).
- Improved patient attendance rates by 20%.
- Saved 20% annually by managing inventory, merchandise, and cost controls.

5. Education: 
- MBA in Organizational Leadership from the University of Findlay (May 2017).
- MBA in International Business from the University of Michigan (March 2017).
- Bachelor of Science in Health Care Administration from Mercy College of Ohio (May 2015).
- Associate of Science from Wayne County Community College (May 2013).
- Lean Six Sigma Black Belt Certification.

6. Projects: None.

7. Skills: 
- Billing
- Call center
- CMS
- Client
- Customer service
- Forms
- Hiring
- Insurance
- Inventory
- Meetings
- Office
- Organizational
- Processes
- Protocols
- Receptionist
- Reporting
- Safety
- Scheduling
- Six Sigma
- Social services
- Telephone
- Transportation",6.0,8,0.20123685837971556
37,"1. Resume Summary: Dedicated Financial Aid/Student Accounts Officer with 7 years of experience delivering outstanding service to prospective and current students, well-versed in working with student information systems, and experienced in budgeting and strategic planning.

2. Objective: Seeking a role of increased responsibility and authority, utilizing skills in financial planning, student financial aid programs, and federal regulations to contribute to an organization.

3. Experience: 
- Senior Student Accounts Officer (September 2012 - present): Managed financial planning, awarded and certified federal and private loans, counseled students on financial options, and maintained compliance with federal regulations.
- Financial Aid Officer (December 2010 - September 2012): Completed financial planning, audited and reconciled VA and financial aid files, and developed policies and procedures within the department.
- Student Accounts Officer and Financial Aid Officer (April 2008 - September 2010): Completed financial planning, counseled students on financial obligations, and handled accounts receivable and accounts payable.
- Financial Service Representative (March 2007 - April 2008): Sold, opened, and maintained customer accounts, made sales goals, and managed lobby operations.
- Teller Supervisor (September 2006 - March 2007): Managed 5 tellers, created end-of-month reports, and enforced bank guidelines.
- Vault Teller (January 2005 - January 2006): Sold, opened, and maintained customer accounts, led sales meetings, and trained new tellers.
- Teller (November 2004 - February 2006): Made referrals for potential sales, advised customers on new products, and handled deposits.

4. Accomplishments: Maintained a performance record of at or above 99% of students to be packaged and repackaged, and helped maintain the 90/10 ratio.

5. Education: 
- Master of Business Administration in Human Resource Management (2010) from Colorado Technical University, GPA: 3.73.
- Bachelor of Science in Business Administration (2008) from Virginia Commonwealth University.

6. Projects: None.

7. Skills: Proficient in Microsoft Office, ImageNow, CampusVue, PowerCampus, PowerFAIDS, VA Once, Right Signature, Ten Key, and documentation and reporting.",8.0,8,0.1208905380333952
38,"1. Resume Summary: The candidate is an Aviation Electronics Technician with over 15 years of experience in troubleshooting, maintaining, and repairing electronic systems, including radar, communication, and navigation equipment. They possess strong technical skills, including proficiency in various software and hardware tools, and have experience in instructional design and online course development.

2. Objective: Seeking a challenging position where existing skills and experience can contribute to the company while expanding technical abilities.

3. Experience: 
- Aviation Electronics Technician at Company Name (01/2008 to Current): Troubleshoots and repairs electronic systems, including radar, communication, and navigation equipment. Maintains and repairs in-flight navigation and detection systems on aircrafts.
- Instructional Designer at Company Name (01/2013 to 01/2015): Developed online courses using Blackboard LMS environment, facilitated course transfers, and collaborated with remote faculty to prepare high-quality online courses.
- Aviation Electronics Technician at Company Name (01/2003 to 01/2007): Worked in the Navy's largest intermediate maintenance department, providing component-level repair and resolving intricate automated test equipment problems.

4. Accomplishments: 
- Contributed to a 55% reduction in backlog in the Navy's intermediate maintenance department.
- Maintained a 95% ready for issue rate on classified F/A-18 specialized repair assemblies.
- Completed over 2,900 maintenance actions annually on classified F/A-18 specialized repair assemblies.

5. Education: 
- Bachelor of Science in Aeronautical Science Applied Meteorology from Embry-Riddle Aeronautical University (May 2016), GPA: 3.23/4.0.
- Associate of Science in Electronic Engineering Technology from Tidewater Community College (May 2008), GPA: 3.85/4.0, Summa Cum Laude.

6. Projects: None.

7. Skills: 
- Proficient in various software and hardware tools, including Adobe, Auto CAD, Canvas, HTML, labVIEW, MATLAB, Microsoft Office Programs, and more.
- Strong technical skills in electrical schematics, logic, navigation, oscilloscopes, problem-solving, quality assurance, radar, and more.
- Fluent in Spanish and English.",4.0,8,0.4394310451453309
39,"1. Resume Summary: The candidate is a seasoned banking professional with over 10 years of experience in leadership roles, specializing in sales management, team development, and customer service. They have a proven track record of achieving exceptional sales results and developing high-performing teams.

2. Objective: None.

3. Experience: 
- Banking Center Manager, Assistant Vice President at Comerica Bank (Brooklyn Office) from 2012 to present, where they manage human resources, develop and manage high-performing employees, and exceed corporate budgeting expectations.
- Banking Center Manager, First Level Officer at Comerica Bank (Grass Lake Office) from 2011 to 2012, where they led sales, quality customer service, and business development activities.
- Banking Center Assistant Manager at Comerica Bank from 2005 to 2011, where they selected, developed, and retained a diverse team of high-performing individuals.
- Michigan Regional Account Manager from 2002 to 2005, where they developed presentations, educated real estate agents, and maintained marketing concessions.

4. Accomplishments: 
- Currently standing at the highest percentage achieved for banking center goals in 2014.
- Top 10% Banking Center in 2013 for Comerica Bank, Michigan Market.
- Developed two under-performing Banking Centers into top-performing offices in 2011-2012 and 2012-Present Day.
- Top-performing Assistant Manager Statewide for Comerica Bank in 2010.

5. Education: 
- Bachelor of Science from Michigan State University (2002).
- Various graduate-level courses from Central Michigan University Graduate Program and Jackson College, including Principles of Accounting, Communication and Social/Organizational Change, Introduction to Probability and Statistics, and Human Resource Management.

6. Projects: None.

7. Skills: 
- Accounting, banking, benefits, branding, budgeting, business development, call center, coaching, cold calling, customer service, direct sales, financial, human resource, instructing, leadership, marketing, negotiations, networking, organizational, performance management, policies, presentations, processes, producing, quality, real estate, retail, risk management, sales, sales management, statistics, team building, team development, and training.",2.0,8,0.006233766233766235
40,"1. Resume Summary: An innovative and customer-oriented Healthcare Administrator with experience in primary care, marketing, and team leadership. Skilled in verifying insurance coverage, records reviews, and schedule maintenance.

2. Objective: Seeking a leadership role in a team-oriented company where she can utilize her skills in healthcare administration and marketing.

3. Experience: 
- Healthcare Marketing Specialist at Company Name (Jul 2017 - Current): Analyzed marketing programs, established production schedules, and increased patient traffic by 5%.
- Healthcare Admin Intern at Company Name (Feb 2017 - Jun 2017): Scheduled appointments, recorded patient data, and developed a system of staff communication.
- Call Center Representative at Company Name (Jun 2016 - Sep 2016): Demonstrated mastery of customer service call script and provided cross-training to staff members.
- Customer Service Representative at Company Name (Jun 2015 - Sep 2015): Demonstrated mastery of customer service call script and built customer loyalty.
- Sales Associate at Company Name (Jun 2014 - Jan 2016): Established prices, tabulated bills, and exchanged merchandise for customers.
- Front Desk Assistant at Company Name (Sep 2013 - May 2015): Handled incoming and outgoing correspondence and managed test reminder calls.
- Retail Customer Service Associate at Company Name (May 2011 - Aug 2011): Greeted customers, assisted with information, and resolved complaints.

4. Accomplishments: 
- Increased patient traffic by 5% as a Healthcare Marketing Specialist.
- Developed a system of staff communication that ensured proper implementation of treatment plans and comprehensive patient care as a Healthcare Admin Intern.
- Contributed to 5% growth of the organization through program design and execution as a Healthcare Admin Intern.

5. Education: 
- Bachelor of Science in Healthcare Administration from Pennsylvania College of Health Sciences (2017).
- High School Diploma from Northeastern High School (2010).

6. Projects: None.

7. Skills: 
- Technical skills: Electronic Medical Database, Microsoft Office Suite (PowerPoint, Excel, Word, Publisher), Adobe Dream Weaver, Adobe Photoshop, Microsoft Outlook, Windows, Adobe Premiere, Adobe Acrobat, GIMP, and Adobe Reader.
- Soft skills: Superb communication, excellent interpersonal, conflict resolution, customer and personal service, event planning, budgeting, multitasking, problem-solving, and strong work ethic.",8.0,8,0.03740259740259741
