User ID,Resume Summary
171,"1. Resume Summary: A highly qualified warehouse professional with cross-functional and cross-industry management experience, including staff training, inventory control, shipping, receiving, and customer service. Skilled in personnel management, inventory control, and technology implementation.

2. Objective: Seeking a Warehouse Management position that utilizes leadership skills, analytical abilities, and experience in logistics, shipping, and receiving to drive business results.

3. Experience: 
- Warehouse Lead at [Company Name] (April 2011 - Current): Reduced operating budget, implemented new policies and procedures, and negotiated bulk shipping discounts.
- Warehouse/Support Service at [Company Name] (June 2008 - April 2011): Evaluated operational records and made scheduling adjustments to maximize efficiency.
- Marketing & Event Manager at [Company Name] (October 2006 - June 2008): Worked effectively in a cross-functional environment.
- Warehouse & Logistics Manager at [Company Name] (September 2002 - October 2006): Negotiated bulk shipping discounts with contracted carriers.

4. Accomplishments: 
- Reduced shipping operating expenses by [Number]%, while maintaining shipping volume and accuracy.
- Earned a perfect attendance record for [Number] years in a row.
- Achieved [Number]% accuracy during [Year] [Audit Name] Audit of a [Number] stock-keeping unit warehouse facility.
- Recipient of the [Award Name] Achievement Award in [Month, year].
- Named “Employee of the Month” in [Month, year].
- Saved $[Amount] annually by negotiating better rates with all transportation carriers.

5. Education: 
- Certificate of Completion in Business Software Applications from Shoreline Community College (2010).
- One quarter away from completing Associate of Applied Arts and Science.

6. Projects: None.

7. Skills: 
- Proficient in ACT!, Advertising, Arts, Computer Experience, Customer Service Training, Mac, Access, Outlook, PowerPoint, Publisher, Word, Research, Safety, Sales, Seminars, and TQM.
- Strong computer skills, including Microsoft Office Suite.
- Experience with shipping and receiving operations, safety protocols, and vendor management."
172,"1. Resume Summary: The candidate is a skilled Program Coordinator with extensive background in technology and business process, possessing strong organizational, planning, and decision-making abilities.

2. Objective: None.

3. Experience: 
- HR Assistant at Company Name (01/2014 to 09/2015): Coordinated department functions, planned and executed office moves, increased office organization, and assisted with onboarding and training of new employees.
- ORCD Office Coordinator at Company Name (01/2012 to 01/2014): Prepared travel reimbursements, tracked registrations, coordinated meetings, and assisted with conferences and IT setup.
- Inside Sales/Administrative Support at Company Name (04/2010 to 01/2012): Constructed and sent invoices, resolved customer concerns, scheduled engineers, and composed service reports.

4. Accomplishments: Increased office organization by developing more efficient filing system and customer database protocols.

5. Education: 
- Bachelor of Science in Business Management from University of Eau Claire (December 2006)
- Associate of Science in Human Resource Management from Madison Technical College (May 2014)
- Associate of Applied Science in Accounting Assistant from Madison Technical College (May 2014)

6. Projects: None.

7. Skills: 
- Administrative Support
- Anti-Virus
- Billing
- Budget
- Oral communication
- Conferences
- Clients
- Customer satisfaction
- Databases
- Documentation
- Finance
- Help Desk
- Inside Sales
- Marketing
- Meetings
- Access database
- Excel spreadsheets
- PowerPoint
- Microsoft Word
- Office Manager
- Organizing
- Pricing
- Printers
- Problem solving
- Processes
- Coding
- Purchasing
- Quality
- Recording
- Recruitment
- Sales
- Scheduling
- Spreadsheets
- Surveys
- Travel arrangements
- Troubleshooting
- Websites
- Written communication"
173,"1. Resume Summary: The candidate is a dedicated English Language Arts teacher with experience in teaching various grade levels and developing curriculum. She prioritizes teacher collaboration, professional development, and student-centered learning, with a focus on equity, differentiation, and inquiry-based learning.

2. Objective: None.

3. Experience: 
- English Language Arts Teacher at Lakes High School (10/2013-06/2017): Taught 9th-12th grade English, AP Literature, and AP Language, and developed curriculum for various grade levels.
- Head of English Department at Lakes High School (06/2016-06/2017): Led departmental meetings, managed department funds, and participated in the District Literacy Committee.
- ASB Advisor at Lakes High School (07/2016-06/2017): Focused on student-leadership, facilitation, and project management, emphasizing the pillars of Knowledge, Courage, and Compassion.

4. Accomplishments: None.

5. Education: 
- Master in Teaching: Secondary Education from the University of Washington (2012), with English Language Arts and English Language Learner endorsements.
- Bachelor of Arts in English from the University of Washington (2011), with a minor in Education, Learning and Society.
- Associate of Arts from Tacoma Community College (2009), through the Running Start Program.

6. Projects: None.

7. Skills: 
- Educational Leadership
- Classroom Management
- Variety of Teaching Strategies
- Multimedia Teaching and Learning
- Inquiry-Based Learning"
174,"1. Resume Summary: The candidate is a finance coordinator with over 15 years of experience in accounting, payroll, and financial management. They possess strong skills in general ledger accounting, accounts payable, and payroll processing, with expertise in Microsoft applications and payroll software such as Paychex and ADP.

2. Objective: To acquire a position that will grant the opportunity to contribute to the efficient operation of a firm and earn advancement through job performance.

3. Experience: 
- Finance Coordinator at Company Name (2010-Present): Responsible for payroll preparation, time-keeping data entry, and accounts payable management.
- Accountant at Company Name (2007-2010): Prepared bi-weekly payroll, maintained time-keeping data, and applied knowledge of applicable laws related to payroll process.
- Senior Accountant at Company Name (1994-2006): Prepared bi-weekly payroll, maintained time-keeping data, and interacted with employees and management on payroll-related projects.

4. Accomplishments: 
- Maintained an accounts payable turnover rate of 30 days or less.
- Successfully managed over ten state and city contracts, including preparing monthly expenditure reports, budget modifications, and year-end closeouts.

5. Education: 
- GED: High School Equivalence Diploma, HS for Humanities (2008)
- Certificate: Principles of Accounting, Lehman College
- Continuing Education: Computer Leadership and Vocational Educational Program, Alianza Dominicana Inc.
- Medical Billing and Coding, Netcom Information Technology

6. Projects: None

7. Skills: 
- Payroll processing
- State tax regulations
- Accounts payable management
- Bank reconciliation
- General ledger accounting
- Posting and reconciliation
- Microsoft applications (Excel, Word, Outlook)
- Payroll software (Paychex, ADP)
- QuickBooks and QuickBooks Pro
- Medical invoicing and billing"
175,"1. Resume Summary: The candidate is a high-energy banking manager with experience in team management, client relations, and customer service. They possess strong leadership skills, attention to detail, and the ability to work under pressure.

2. Objective: None (The resume does not explicitly state the candidate's career goals or the type of role they are seeking.)

3. Experience: The candidate has worked as a Store Manager at multiple banking companies, including one from August 2013 to Current and another from February 2008 to June 2012. Key responsibilities include team management, customer service, employee training, and sales. They also worked as a Store Manager from August 2012 to November 2012, where they managed a team of 10 and opened a new store location.

4. Accomplishments: The candidate achieved a 23% increase in sales by developing an incentive performance plan, and their team surpassed revenue goals in four consecutive quarters. They also initiated a program that standardized employee training, resulting in a 12% increase in customer satisfaction.

5. Education: High School Diploma from Federal Way Senior High School, graduated in 2010.

6. Projects: None (The resume does not mention any specific projects the candidate has worked on.)

7. Skills: Proficient in team management, client relations, customer service, inventory management, reconciling, recruiting, sales, and employee training."
176,"1. Resume Summary: The candidate is a seasoned Benefit Advocate Supervisor with over 10 years of experience in the insurance industry, specializing in customer service, team management, and insurance underwriting. They possess strong technical and soft skills, with proficiency in various software applications and insurance products.

2. Objective: Seeking a leadership role in the insurance industry where they can utilize their expertise in customer service, team management, and insurance underwriting to drive business growth and success.

3. Experience: 
- Benefit Advocate Supervisor at Company Name (May 2014 to Current): Led a team of Licensed Life and Disability Benefit Advocates, provided guidance and direction, and managed daily operations.
- Customer Service Supervisor at Company Name (November 2011 to May 2014): Coached and guided a team of 14 Licensed Property & Casualty Customer Service Agents, managed daily operations, and supported training and process recommendations.
- Customer Service Lead at Company Name (September 2005 to October 2011): Assisted department supervisors with coaching, training, and mentoring of Customer Service Agents, monitored department productivity, and took escalated calls.

4. Accomplishments: None.

5. Education: 
- Bachelor of Social Sciences from the University of Washington (2009)
- Certified Insurance Councilor (CIC) designation in Agency Management, Life & Health, and Commercial Property, with a goal to complete Personal Lines and Commercial Casualty to earn the full CIC designation.

6. Projects: None.

7. Skills: 
- Technical skills: Proficient in MS Windows, MS Office, Applied Epic, Vertafore Sagitta / BenefitPoint, CC Pulse, Verint Impact 360, Verba, Kronos, MyTime, DocuSign, Taleo, Cisco Enterprise/Finesse/Admin/Report Server, SalesForce Service Cloud, and more.
- Soft skills: Coaching, counseling, customer relations, employee development, leadership, mentoring, problem-solving, project management, quality assurance, sales support, supervising, and training."
177,"1. Resume Summary: The candidate is a driven and self-motivated professional with extensive experience in accounting, sales, and customer service. They possess strong analytical and problem-solving skills, with the ability to make decisions and communicate effectively. They have a strong background in accounting systems, wire transfers, and ACH processing.

2. Objective: To secure an accounting position with an organization that will utilize their strong educational background and professional experience, while providing stability and opportunity for growth.

3. Experience: 
- Sales & Service Associate at Company Name (10/2012 to Current): Performs bank product cross-sales, handles client inquiries, and processes transactions.
- Sales & Service Associate at Company Name (01/2011 to 02/2012): Delivered sales presentations, researched banking guidelines, and collaborated with legal and accounting counsel.
- Administrator - AP/AR Specialist at Company Name (04/2008 to 12/2010): Executed financial due diligence, created valuation models, and performed accounts payable and accounts receivable functions.
- Accounting position at Company Name (11/2001 to 08/2003): Prepared bank reconciliations, worked with internal online cash loads, and supervised vendors.

4. Accomplishments: 
- Exceeded sales objectives in 2014
- Achieved top five percentile in monthly sales in December 2014
- Received the ""Employee of the year"" Award for asset gathering

5. Education: 
- AAS in Finance from DeKalb College (2001)
- Bachelor of Science in Finance from University of Maryland University College (2016)
- Associate of Applied Science in Finance from Georgia Piedmont Technical College (2001)

6. Projects: None

7. Skills: 
- Accounting, E-Commerce, financial statements, funds, gross profit, Insurance, inventory, market, MAS 90, Medical Billing, money, MS Office, negotiating, Peachtree accounting, police, POS, Coding, quick, supervisor, tax, telephone, written communication
- Accounts Payable, Accounts Receivable, advertising, ATM, Bank reconciliation, banking, bonds, CD, Charts, closing, clients, customer service, debit, documentation"
178,"1. Resume Summary: A highly motivated and resourceful professional with over 10 years of experience in customer service, case management, and team leadership. Skilled in conflict resolution, negotiation, and employee relations, with a strong background in medical terminology and benefit servicing systems.

2. Objective: Seeking a role that utilizes strong interpersonal skills, customer service expertise, and analytical abilities to drive positive outcomes and build strong relationships with internal and external customers.

3. Experience: 
- Family Advocate at Company Name (May 2014 to Current): Provides excellent customer service, resolves customer inquiries, and assists with benefits, eligibility, and claims. 
- Patient Care Advocate at Company Name (January 2008 to May 2014): Maintained confidentiality, provided case management expertise, and resolved issues affecting patient care. 
- Resident Director/Advisor at Company Name (May 2004 to July 2007): Coached students, performed administrative duties, and mentored groups of residents.

4. Accomplishments: Exceeded performance goals in efficiency, call quality, customer satisfaction, first call resolution, and attendance as a Family Advocate.

5. Education: 
- Master of Chiropractic from Life University (2013)
- Bachelor of Science in Psychology from East Stroudsburg University of PA (2007)

6. Projects: None

7. Skills: 
- Strong interpersonal skills
- MS Word, MS Excel, MS PowerPoint, Outlook
- Benefit servicing systems: ICUE, Facet, ISET
- Customer service management expertise
- Citrix, medical benefit and claim systems: KL library, LINX
- Case Management
- Medical Terminology Records (VLookup, Pivot Tables, etc)
- Team leadership
- Team liaison
- Self-motivated
- Extremely organized
- Client assessment and analysis
- Risk management processes and analysis
- Staff development
- Negotiation competency
- Active Listening skills
- Conflict resolution
- Courteous demeanor
- Employee relations specialist
- High customer service standards
- Troubleshooting skills
- Telecommunication knowledge
- Administrative support: filing, researching
- Consulting
- Customer service, customer support, telephone
- Data entry: MS Excell, MS Office, Outlook, MS PowerPoint, MS Word
- Medical Billing and coding: ICD-9, ICD-10
- Office management: phone skills, phone, typing"
179,"1. Resume Summary: Marissa A. Kalkman is a seasoned Program Manager with over 10 years of experience in health promotion, wellness, and program management. She has a strong background in designing and implementing health promotion programs, managing grants, and leading teams.

2. Objective: Seeking a leadership role in health promotion, wellness, or program management where she can utilize her skills and experience to drive positive change and improve health outcomes.

3. Experience: 
- Program Manager at Company Name (2015 - Current): Managed a $600,000 grant contract for a tobacco cessation program, collaborated with community partners, and supervised a team of Tobacco Cessation Coaches.
- Fitness Coach at Company Name (2015 - Current): Coached group classes in various formats, including CrossFit and Boot Camp.
- Health Promotion Program Manager and Total Account Manager at Alere Health/Optum (2014 - 2015): Designed and delivered health promotion programs for corporate and public sector clients.
- Program Manager at Company Name (2012 - 2014): Managed the State of Kansas comprehensive wellness program, interpreted program summary reports, and presented annual program outcomes.
- Health Risk Solutions Consultant at Company Name (2011 - 2012): Advised corporate clients on wellness program design and integrated incentive strategy.
- Health Education Specialist at Company Name (2009 - 2011): Developed and launched the Blueprint for Wellness Map product suite and analyzed employee biometric data.
- Graduate Assistant at Company Name (2007 - 2009): Managed personnel and programming, established a campus body image awareness campaign, and created the CircuitStrength fitness program.

4. Accomplishments: 
- Managed a $600,000 grant contract for a tobacco cessation program.
- Developed and launched the Blueprint for Wellness Map product suite.
- Established a campus body image awareness campaign, Celebrate EveryBODY.
- Created and implemented the CircuitStrength fitness program.

5. Education: 
- Master of Science in Applied Health Science, Health Promotion from Indiana University (2009).
- Bachelor of Arts in Psychology and Public Health Education from Indiana University (2007).
- Master Certified Health Education Specialist (MCHES) and Certified Exercise Physiologist (ACSM EP-C).

6. Projects: None.

7. Skills: 
- Program management and design
- Health promotion and education
- Grant management
- Team leadership and supervision
- Data analysis and reporting
- Marketing and communication
- Electronic health records
- Microsoft Office Suite and Adobe Acrobat
- Social media platforms and online wellness portals."
180,"1. Resume Summary: A forward-thinking HR Generalist with experience in adapting to evolving market plans and company expansion, skilled in HR compliance, project management, and team building.

2. Objective: Seeking an HR Executive role that utilizes her skills in HR compliance, project management, and team building to drive company growth and employee satisfaction.

3. Experience: 
- HR Executive at Company Name (11/2012 - 09/2014): Developed company personnel policies, standard operating procedures, and employee handbooks. Managed all aspects of leave administration, including employee notifications and vendor management.
- Core Team member at Dr.Kamakshi Memorial Hospital Pvt Ltd (Nov'12 - Sep'14): Worked in the core quality team to obtain National Accreditation Board for Hospitals & Healthcare Providers (NABH) certification. Revamped the organizational structure and redesigned effective onboarding processes and tools.

4. Accomplishments: 
- Developed a HR Metrics including a Drill to Detail option for Ashok Leyland, allowing users to ""see the people behind the numbers.""
- Completed a Project on ""Organizational Climate"" in Ashok Leyland's corporate office, Guindy.
- Successfully worked in the core quality team to obtain National Accreditation Board for Hospitals & Healthcare Providers (NABH) certification for Dr.Kamakshi Memorial Hospital Pvt Ltd.

5. Education: 
- MBA in Human Resource from Crescent Business School (2012), with an emphasis in Human Resources and a minor in Systems.
- B.E in Computer Science Engineering from Lord Venkateshwaraa Engineering College (2010).
- High School in Computer Science from Lady Sivaswami girls Higher Secondary School (2006).

6. Projects: 
- Developed a HR Metrics including a Drill to Detail option for Ashok Leyland.
- Completed a Project on ""Organizational Climate"" in Ashok Leyland's corporate office, Guindy.
- Worked on SAP implementation for Export department as an intern.
- Completed a project in web crawling for faster indexing and enhancing the speed of search engines.

7. Skills: 
- Proficient in MS Office, C, C++, Java, SQL, and Visual Basic 6.0.
- Knowledgeable in HR Systems, HR Compliance, and Project Management.
- Skilled in team building, employee recruitment, and interpersonal skills.
- Fluent in English, Hindi, and other languages."
181,"1. Resume Summary: The candidate is an experienced Staff Accountant with over 12 years of experience in financial management, budgeting, and payroll processing. They have expertise in QuickBooks, Microsoft Office, and Excel, and have worked in various roles, including Staff Accountant, Executive Administrative Assistant, and Payroll Benefits Administrator.

2. Objective: None.

3. Experience: 
- Staff Accountant at Company Name (01/2012 to 06/2014): Responsible for reviewing and compiling financial information, preparing financial statements, processing payroll, and completing tax returns.
- Executive Administrative Assistant at Company Name (01/2006 to 01/2012): Managed administrative and financial duties, processed payroll, and assisted with event planning.
- Payroll Benefits Administrator/Benefits Clerk at Company Name: Supervised payroll processing, managed benefits administration, and assisted with grant funding and budget development.

4. Accomplishments: None.

5. Education: 
- Associate of Applied Science (AAS) in Business Accounting from Fulton-Montgomery Community College (May 2012)
- Individual Studies Certificate in Business Accounting (August 2006)

6. Projects: None.

7. Skills: 
- Proficient in QuickBooks, Microsoft Office (Excel, Outlook, Word, Power Point, Publisher), dot net, and Accounts Payable/Receivable.
- Experienced in financial management, budgeting, payroll processing, benefits administration, and grant funding.
- Skilled in data entry, financial statements, budget analysis, and reporting."
182,"1. Resume Summary: The candidate is an experienced IT Specialist with over 20 years of experience in managing and coordinating the implementation of network communications, local area networks, visual information systems, and IT infrastructure projects. They have worked on various projects involving large and complex data networks and telecommunications systems.

2. Objective: None (The resume does not explicitly state the candidate's career goals or the type of role they are seeking.)

3. Experience: 
- IT Specialist Project Engineer (December 2009 to Current) at U.S. Army Information Systems Engineering Command (USAISEC), where they managed and coordinated the implementation of network communications, local area networks, visual information systems, and IT infrastructure projects.
- Systems Integration Analyst (July 2009 to December 2009) at Company Name, where they developed facility design criteria, system design plans, engineering installation packages, and other acquisition documentation for complex IT projects.
- Functional Area Expert (Command and Control) (April 2001 to September 2009) at Company Name, where they provided IT engineering services in the form of quick reaction engineering to Engineer, Furnish, Install, and Test (EFIT) total communications functionality at multiple Command and Control (C2) facilities.

4. Accomplishments: 
- Successfully managed the $25 million IT infrastructure project for the new Command, Control, Communications and Computers (C4) facility for the Joint Special Operations Command (JSOC) at Ft Bragg, NC.
- Completed the $19 million BRAC mandated Army Central Command (ARCENT) Headquarters relocation project.

5. Education: 
- Bachelor of Science (BS) in Information Technology, University of Phoenix (2005), GPA: 3.67
- Associate of Applied Science (AAS) in Electronic Technology, Cochise College (2003), GPA: 4.0
- Associate in General Studies, Cochise College (2001), GPA: 4.0

6. Projects: 
- Managed the IT infrastructure project for the new Command, Control, Communications and Computers (C4) facility for the Joint Special Operations Command (JSOC) at Ft Bragg, NC.
- Completed the BRAC mandated Army Central Command (ARCENT) Headquarters relocation project.
- Provided IT engineering support for the US Southern Command (SOUTHCOM) headquarters relocation project.
- Developed the Facility Design Criteria (FDC) as part of the design-build contracting process for the USACE.
- Provided on-site engineering support for the voice, data, and visual information systems being installed for the United States Army South (USARSO) Headquarters and the Installation Management Agency (IMA) at Fort Sam Houston, Texas.

7. Skills: 
- Administrative, Analyst, Army, Agency, cable, cabling, Cat5, documentation, Engineer, engineering support, financial, Functional, Government, IMS, Information Systems, Information Technology, local area networks, Local Area Network, LANs, LAN, law, Materials, meetings, Office, Network, networks, personnel, procurement, project leader, project coordination, QA, quick, Radio, routing, SAT, scheduling, Supervisor, surveys, Switch, System Design, Systems Integration, telecommunications, Telephone, Theatre, UHF, Ultra High Frequency, upgrades, upgrade, validation, Vista, voice and data."
183,"1. Resume Summary: The candidate is an experienced HR Director with over 20 years of experience in recruiting, 15 years in HR Executive Management, and 5 years of HRIS development and maintenance. They have a strong background in policy development, benefit administration, and web page development.

2. Objective: None (The resume does not explicitly state the candidate's career goals or the type of role they are seeking.)

3. Experience: 
- HR Director (09/2016 to Current) at Company Name, City, State: Developed a new website for the agency, implemented a new HRIS system, and oversaw the employment process.
- HR Director (04/2009 to 09/2016) at Company Name, City, State: Developed supervisory education, established a comprehensive statewide human resource program, and resolved non-routine HR-related issues.
- HR Manager/Sr. Recruiter (10/2003 to 06/2006) at Company Name, City, State: Created an HRIS tracking system, responsible for recruitment and hiring of customer service agents, and met and exceeded hiring goals.
- Human Resources Coordinator (03/1996 to 02/2000) at Company Name, City, State: Developed an HRIS database, coordinated manpower planning, and served as the HR resource source for administration and staff.

4. Accomplishments: 
- Developed and implemented the Adjutant General's Retention Research project.
- Produced results in less time and man-hours than in previous years with the Job Vacancy Project at LMIS.
- Created a local website for a healthcare facility to receive and respond to requests for information and assistance.
- Reduced contract labor costs for nursing staff and implemented a unique pay structure to increase PRN staff utilization.
- Met and exceeded all hiring goals for the firm, resulting in increased business transferred to the location.

5. Education: 
- Master's Degree in Information Management Systems from Friends University (05/2005).
- Bachelor of Science in Organizational Management from Friends University (05/2000).

6. Projects: 
- Developed a new website for the agency.
- Created an HRIS tracking system for recruitment.
- Developed an HRIS database for employee records and monitoring.
- Created a local website for a healthcare facility.

7. Skills: 
- Recruiting
- FMLA/EEO/FLSA
- HRIS Development
- Benefit Administration
- Policy Development
- Web Page Development
- Desktop Publishing
- Newsletter productions
- DATABASE Management
- Leadership Training
- OSHA
- Workers Compensation
- PageMaker
- Agency Automation
- Benefits
- Budget management
- Corel Suite
- Harvard Graphics
- Access
- Excel
- Microsoft Publisher
- MS Word
- Quark Express
- Quattro Pro
- Strategic Planning
- Web page development
- WordPerfect"
184,"1. Resume Summary: The candidate is a multifaceted professional with over five years of experience in law, linguistics, and interpretation. They hold a Bachelor's degree in Academic Law and have worked in various roles, including translation, case management, and customer service.

2. Objective: None (The resume does not explicitly state the candidate's career goals or the type of role they are seeking.)

3. Experience: 
- Driver (April 2015 - March 2016): Provided transportation services to customers and assisted with basic car maintenance tasks.
- Server (February 2014 - present): Worked in the food service industry, greeting customers, taking orders, and ensuring customer satisfaction.
- Relation Officer (September 2013 - March 2014): Compiled reports, filed documents, and assisted with administrative duties.
- Translator, Legal and Cultural Advisor (January 2011 - January 2013): Provided translation services for American military personnel and translated confidential documents.
- Case Researcher (January 2010 - January 2011): Provided comprehensive case management services to clients and maintained accurate records.
- English Instructor (January 2005 - January 2007): Taught English as a Second Language and maintained lesson plans.
- Legal Aid (January 2008 - January 2011): Provided legal aid to civil societies, individuals, and government organizations, and coordinated with government bodies to protect children's rights.
- Service (January 2008 - January 2011): Conducted seminars, facilitated social service programs, and aided in relief efforts.

4. Accomplishments: None (The resume mentions being ""flexible and hardworking,"" but does not provide specific notable achievements or awards.)

5. Education: Bachelor of Academic Law from J.S.S. Law College in Karnataka, India.

6. Projects: None (The resume does not mention any significant projects the candidate has worked on.)

7. Skills: 
- Languages: Fluent in English, Pashto, Daro, and Hindi, with advanced speaking abilities.
- Technical skills: Proficient in Microsoft Office, including Word, Excel, and PowerPoint.
- Soft skills: Administrative, case management, customer satisfaction, database management, translation, and written communication."
185,"1. Resume Summary: 
The candidate is a highly motivated educational leader with over 15 years of experience in fostering a cohesive student learning atmosphere. They possess strong leadership and communication skills, with expertise in classroom management, crisis management, and patient interaction. They are also licensed in multiple states as a reading specialist.

2. Objective: 
None (The resume does not explicitly state the candidate's career goals or the type of role they are seeking. However, based on their experience and qualifications, it can be inferred that they are seeking a senior educational leadership or teaching role.)

3. Experience: 
- Tutoring Consultant (August 2014 to Current): Worked with special needs students, promoted language development skills, and applied positive reinforcement methods.
- English/Social Studies (September 2013 to Current): Developed and implemented lesson plans, conducted group and one-on-one reading and writing activities, and fostered a classroom environment conducive to learning.
- Social Studies Teacher (June 2007 to June 2013): Provided state-mandated curriculum, created school curriculum for 10th grade World History, and developed and implemented daily and unit lesson plans.
- English Language Arts Teacher/Social Studies Teacher (June 2002 to June 2007): Maintained student progress, developed and implemented daily and unit lesson plans, and conducted group and one-on-one reading and writing activities.
- Prevention Specialist (June 2000 to June 2002): Provided state and federally mandated classroom presentations, developed tailored lessons based on student needs, and worked with students in discussion groups.
- Alumni Peer Helper (January 1997 to June 2000): Worked closely with department Assistant Principals, assisted Prevention and Intervention Specialists, and worked with individual students in counseling sessions.

4. Accomplishments: 
- Helped low-functioning readers move from Pre-K level reading to 5th and 6th grade reading levels.
- Facilitated small reading and writing groups, and phonics groups for grades 6 through 12.
- Managed classes of up to 45 students.
- Chaperoned multiple field trips and after-school activities.
- Designed weekly lesson plans focused on age and level-appropriate material.
- Designed curriculum based on student needs.
- Helped students reach their IEP goals.

5. Education: 
- Master of Science in School and District Administration, Touro College (2010)
- Master of Science in Literacy, Touro College (2005)
- Bachelor of Arts in Political Science, St. Francis College (2000)

6. Projects: 
None (The resume does not explicitly mention any significant projects the candidate has worked on. However, it can be inferred that they have worked on various educational projects and initiatives throughout their career.)

7. Skills: 
- Leadership and communication skills
- Classroom management
- Crisis management
- Patient interaction
- Goal-oriented and self-motivated
- Team player
- Enthusiastic people person
- Licensed in multiple states as a reading specialist (N.Y.S. Permanent License for Social Studies 7-12, N.Y.S. Professional License for Literacy Specialist k-12, Mississippi License in Social Studies 7-12, Mississippi License in Literacy K-12)"
186,"1. Resume Summary: 
Ambitious Human Resources Generalist with over 20 years of experience in HR, administration, and leadership roles, creating strategic alliances with organization leaders to support key business initiatives and build high-performance teams.

2. Objective: 
None (However, based on the resume, it can be inferred that the candidate is seeking a senior HR leadership role where they can utilize their skills and experience to drive business growth and employee engagement.)

3. Experience: 
- Director of HR, Company Name (January 2013 - Current)
  - Directly reports to the CEO and VP, overseeing HR, administration, and technology functions.
  - Supervises two staff members and implements various HR initiatives.

- Vice President and Director of Human Resources and Administration, Company Name (January 2006 - January 2013)
  - Reported directly to the Founder/CEO, growing the company from 45 to 215 employees.
  - Designed and implemented company-wide initiatives, including talent acquisition and management.

- Business Manager, Company Name (January 2001 - January 2006)
  - Managed office operations, including HR, finance, administration, and IT for a 21-person law firm.

- Vice President/Business Manager, Company Name (January 1988 - January 2001)
  - Administered and grew office talent from 18 to over 120 employees and annual income growth from $1.3M to $37M.

4. Accomplishments: 
- Created employee handbook and designed comprehensive annual employee survey.
- Implemented and trained employees on new payroll system.
- Developed Wellness Program and established preventative health initiatives to reduce healthcare annual premiums.
- Created annual employee bonus program aligned with company goals and objectives.
- Demonstrated talent acquisition and management, resulting in over 45% of employee base staying with the company for more than four years.
- Created and developed monthly two-day on-boarding program, reducing employee turnover from 28% to under 10% annually.
- Developed and upheld organizational policies and procedures, resulting in 95+% employee satisfaction with company culture.

5. Education: 
- BS in Human Resources Management and Business Administration.

6. Projects: 
- Project lead and manager for the selection, implementation, and training of custom payroll and leave tracking system.
- Project manager for the conversation and implementation of new computer system, software, and equipment from Novell to Windows platform.
- Project manager for the selection and implementation of new telephone system.
- Day-to-day project management and overall responsibility of office construction build-out and office move.

7. Skills: 
- Accounts payable, accounts receivable, benefits, benefits administration, billing, budgets, coaching, contracts, employee relations, finance, financial statements, general ledger, government, HR, leadership, law, legal, mentoring, office, payroll, payroll processing, performance management, policies, project lead, project management, property management, quality, rapport, real estate, recruitment, research, space planning, strategic, supervision, teamwork, telephone."
187,"1. Resume Summary: The candidate is a seasoned Senior Lending Officer with 25 years of experience in the financial industry, specializing in commercial lending, credit management, and business development. They have a proven track record of growing loan balances and implementing new software systems.

2. Objective: None.

3. Experience: 
- Senior Lending Officer - VP Executive Officer (11/2009 to Current): Managed six commercial lending officers, developed new business, and grew commercial loan balances 5-10% each year.
- Commercial Lender - Regional Medical Liaison (10/2008 to 11/2009): Conducted outbound sales and servicing activities for commercial lending and business banking in the Syracuse region.
- Commercial TEAM Leader (04/1998 to 10/2008): Led five commercial lenders, focusing on existing relationship management and new business development.
- Commercial Lending Officer - AVP (09/1994 to 04/1998): Managed a $25,000 lending portfolio, developed new loan business, and solicited retail, trust, and investment business.
- Business Development/Commercial Lending Officer (09/1991 to 09/1994): Conducted outbound sales and managed business banking credits and cash management sales.
- Advanced Staff Auditor (07/1988 to 08/1991): Completed client job work-papers, prepared tax returns, and performed related tasks.
- Staff Accounts Payable Clerk (06/1985 to 06/1988): Prepared and submitted timely payments, maintained accounts payable systems, and processed expense reports.

4. Accomplishments: 
- Grew commercial loan balances 5-10% each year for five years.
- Established a robust outbound calling plan for the sales force.
- Designed and implemented an Incentive Compensation Plan (ICP) for the sales force.
- Created a CRM platform with the bank's BakerHill Commercial Software.
- Implemented new software systems with MortgageBot and DecisionPro.

5. Education: 
- Advanced Lending Certificate (1996), University of Buffalo.
- BBA in Accounting (1988), Niagara University.
- High School Diploma in General Studies (1984), St. Joseph's Collegiate Institute.

6. Projects: None.

7. Skills: 
- Accounting, accounts payable, banking, business development, cash management, commercial lending, communication skills, credit, credit analysis, CRM, client expense reports, finance, HR, insurance, leadership, market management, new business development, real estate, retail, sales, sales and management, tax return preparation.
- Proficient in WORD, EXCEL, and PowerPoint."
